video_id,author,comment,like_count,published,comment_clean,comment_normalized
At9u_bDYIe0,@drmuriachannel5704,Terima kasih... diskusi penuh ilmu berintegritas. Pejabat2 yg membutakan diri demi uang haram tidak manfaat bagi orang tua mu. Istri anak. Rakyat dan negara.,0,2025-11-17T11:56:04Z,Terima kasih diskusi penuh ilmu berintegritas Pejabat2 yg membutakan diri demi uang haram tidak manfaat bagi orang tua mu Istri anak Rakyat dan negara,terima kasih diskusi penuh ilmu berintegrita pejabat membutakan diri demi uang haram tidak manfaat bagi orang tua istri anak rakyat negara
At9u_bDYIe0,@Nusantoro-b2n,"*BENARKAH 11.000 TRILYUN ADA DIKANTONG JKW DIDAPAT DARI MANA???*BISA DILACAK APA CUMA ISSU HOAKS ?,,,ADA PEMBIARAN???.MENTANG2 BERKUASA????,*",1,2025-11-17T08:43:48Z,BENARKAH 11 000 TRILYUN ADA DIKANTONG JKW DIDAPAT DARI MANA BISA DILACAK APA CUMA ISSU HOAKS ADA PEMBIARAN MENTANG2 BERKUASA,benarkah trilyun dikantong jkw didapat bisa dilacak apa cuma issu hoak pembiaran mentang berkuasa
At9u_bDYIe0,@Ramudin-t8f,"👎👅 MAFIA DI SELURUH INDONESIA ITU PASTI JAMAN JOKODOK/ JOKOWEEE , PERUSAHAAN DARI LUAR NEGRI JAMINAN DARI JOKODOK",0,2025-11-16T23:07:03Z,MAFIA DI SELURUH INDONESIA ITU PASTI JAMAN JOKODOK JOKOWEEE PERUSAHAAN DARI LUAR NEGRI JAMINAN DARI JOKODOK,mafia seluruh indonesia pasti jaman jokodok jokowee perusahaan luar negri jaminan jokodok
At9u_bDYIe0,@hunterrevew94,RAKYAT INDONESIA DUKUNG BAPAK REDENOMINASI❤❤❤,0,2025-11-16T18:46:02Z,RAKYAT INDONESIA DUKUNG BAPAK REDENOMINASI,rakyat indonesia dukung bapak redenominasi
At9u_bDYIe0,@Jumari-p8w,"Jadi bangkrutnya negara ini, karena maling2 , pak Presiden Prabowo sdh saatnya menyingkirkan di lingkungan pemerintah pejabat2 yg ingin memperkaya diri sendiri",0,2025-11-16T13:51:45Z,Jadi bangkrutnya negara ini karena maling2 pak Presiden Prabowo sdh saatnya menyingkirkan di lingkungan pemerintah pejabat2 yg ingin memperkaya diri sendiri,jadi bangkrutnya negara male pak presiden prabowo saatnya menyingkirkan lingkungan pemerintah pejabat ingin memperkaya diri sendiri
At9u_bDYIe0,@Suwardi123-u9c,Luar biasa kinrja purbaya dulu srimulyani katanya plg baik kalo dibandingkan dg p purbaya ga ada apa2nya,0,2025-11-16T12:06:19Z,Luar biasa kinrja purbaya dulu srimulyani katanya plg baik kalo dibandingkan dg p purbaya ga ada apa2nya,luar biasa kinrja purbaya dulu srimulyani katanya plg baik kalo dibandingkan purbaya apanya
At9u_bDYIe0,@wongalus999,Sikat para tikus bea cukai semua,0,2025-11-16T11:16:53Z,Sikat para tikus bea cukai semua,sikat para tiku bea cukai semua
At9u_bDYIe0,@traderwarkop8321,UUD perampasan asset semoga segera di sah kan.. Aamiin 🤲🤲🤲,0,2025-11-16T03:38:42Z,UUD perampasan asset semoga segera di sah kan Aamiin,uud perampasan asset semoga segera sah kan aamiin
At9u_bDYIe0,@rochmahbuyono7632,"Semua bs , rakyat mendukung BPK presiden didlm  memerangi mafia  ilegal semua .",0,2025-11-16T01:42:35Z,Semua bs rakyat mendukung BPK presiden didlm memerangi mafia ilegal semua,semua rakyat mendukung bpk presiden didlm memerangi mafia ileg semua
At9u_bDYIe0,@autixfatimahbintabun3476,Pak purbaya rakyat mendukung mu .,0,2025-11-15T20:32:53Z,Pak purbaya rakyat mendukung mu,pak purbaya rakyat mendukung
At9u_bDYIe0,@SukarliSuhaemah,LENYAPKAN SEMUA PEMISKIN RAKYAT JGNPANDANG BULU.,0,2025-11-15T14:58:50Z,LENYAPKAN SEMUA PEMISKIN RAKYAT JGNPANDANG BULU,lenyapkan semua pemiskin rakyat jgnpandang bulu
