video_id,author,comment,like_count,published
At9u_bDYIe0,@ya_udahlah,Masya Allah kita punya koboi dar der dor buat menjaga perbendaharaan negara.Selamat pak Pur semoga anda sehat selalu,0,2025-11-15T04:51:43Z
At9u_bDYIe0,@rudisuparman1045,"Usut sampai tuntas tanah negara dijual ke negara untuk jalur WHOOOSH KCIC,,,,,,😊😊😊😊😊😊",0,2025-11-15T02:33:47Z
At9u_bDYIe0,@rudisuparman1045,"Pak PURBAYA CARI UANG,yang GEMUK MAFIA WHOOOSH,,,,wah,wah,wah 😊😊😊😊😊😊😊😊😊",0,2025-11-15T02:15:25Z
At9u_bDYIe0,@rudisuparman1045,"Di jabar ada KDM,di keuangan ada Pak PUrbaya, hasil nya akan cepat terasa bagi Rakyat,,,❤❤❤❤❤❤❤❤❤",0,2025-11-15T02:11:48Z
At9u_bDYIe0,@rudisuparman1045,"Pak PURBAYA,,awasi terus PELINDO,,dan BEA CUKAI di situlah sumber kas negara numpuk,,jangan habis dimakan TIKUS,,,❤",0,2025-11-15T02:00:22Z
At9u_bDYIe0,@singgihjunardi6071,"Mana yang lebih berbobot,Menkeu atau wapres?🤣😂😅",0,2025-11-14T18:47:55Z
At9u_bDYIe0,@untungsantoso9559,"Berarti selama ini Mentri srimulyani hanya sebagai kalkulator negara saja yah , ini saya baru tau kalau Mentri keuangan bukan cuma ngitung jumlah uang negara yang masuk dan yang keluar",0,2025-11-14T16:28:58Z
At9u_bDYIe0,@AmengMuhib,"Kenapa mentri2 keuangan kemaren2 pada diem aja , apakah dia melindungi...?",0,2025-11-14T03:17:08Z
At9u_bDYIe0,@AmengMuhib,Sùgguh2 sangat biadab para pelaķnya.inî pasti para malingnya udh dari dulu.,0,2025-11-14T03:04:23Z
At9u_bDYIe0,@MHosen-n6u,Smg BPK H Prabowo Subianto dan BPK Purbaya sklg dlm lindungan Allah SWT Amin YRA,0,2025-11-13T23:32:21Z
At9u_bDYIe0,@MHosen-n6u,Ya terutama hukum di Indonesia harus tegas jangan tajam kebawah tumpul keatas itulah yg perlu ditegakkan jgn pilih kasih baru negara kita Indonesia bebas dari segala macam cara yg terjadi di negara kita Indonesia bebas dari koruptor dan intimidasi pd rakyat Indonesia smg para pejabat penegak hukum sadar dg adaxa reformasi kepolisian smg kedepan lebih baik dari sebelumnya Amin YRA,0,2025-11-13T23:21:03Z
At9u_bDYIe0,@edybilangin0705,Bismillah... pasti bisa 🙏🏻,0,2025-11-13T21:19:25Z
At9u_bDYIe0,@YuyunNur-n4j,Issue2 yg seperti inilah yg harusnya di up terus. Bukan Issue2 yg tak penting,0,2025-11-13T14:27:42Z
At9u_bDYIe0,@cementel3000,"Naahh..Naah.. bersikap tegas untuk rakyat itu penting dan wajib. 
Now.. berapa juta jiwa bahkan belasan juta jiwa rakyat bisa sejahtera menciptakan pekerjaan formal  atau lainya dengan uang negara yg di gelapkan itu. Rakyat akan lebih mapan,  produktif dan maju merata. Dunia akan lebih menghormati Indonesia Sebagai negara benar2 besar.",0,2025-11-13T10:30:50Z
At9u_bDYIe0,@astrida.lestari1017,"Bisa tapi pasti ada aja akalnya mereka untuk menjegal.. 
Semoga niat baik Pemerintah dilindungi Tuhan..",0,2025-11-13T06:42:17Z
At9u_bDYIe0,@SahrinKelana,UUD 1945 PASAL 33 KAN SUDAH TERPENUHI,0,2025-11-13T03:29:00Z
At9u_bDYIe0,@mbachtiarcirebon8508,"*Parah bea cukai antek*
 *ERA JOKOWI SRI MULYANI*
*PENIPUAN FAKTUR IMPORTIR BARANG DIMURAHKAN UNTUK PENJUALAN DAN DIMAHALKAN BILA PEMBELINYA ANGGARAN APBN*",0,2025-11-12T23:38:23Z
At9u_bDYIe0,@EntinSuhartini-on5tm,Purbaya malaikat indonesia allah kirim dari langit kesunyiaan!,1,2025-11-12T23:19:44Z
At9u_bDYIe0,@EmiLaka-s5g,Bisa kalau Rakyat dan Pemerintah bersatu. Tuhan lindung,0,2025-11-12T23:05:16Z
At9u_bDYIe0,@khoirihafidz1686,"Sejak th 1995 udah ada 
Import baju bekas.",0,2025-11-12T17:08:19Z
At9u_bDYIe0,@kateno7307,hgu di berikan ke perusahaan rakyatmu makan apa pak,0,2025-11-12T06:47:11Z
At9u_bDYIe0,@bumas4937,Menyala p Purbaya....baarokallah jabatannya dunia akherat,0,2025-11-12T05:47:19Z
At9u_bDYIe0,@abdulkhair1696,Allahumma sholli Ala Sayyidina Muhammad waala Ali Sayyidina Muhammad,0,2025-11-12T01:02:56Z
At9u_bDYIe0,@EdiHariyanto-c8r,Paling cerdas cuman .hukuman mati saja sederhana toh kita export tahanan hukuman mati ke negri tirai bambu saja toh belakang hari keuntungan NKRI melesat seperti rudal IRAN pemusnah Isriwil bro.,0,2025-11-11T10:41:24Z
At9u_bDYIe0,@Djauhari0957,"Gila 👿👿👎👎😾 pembiaran, sekarang waktunya Pak. Presiden RI yg berani sikat 😮😮",0,2025-11-11T08:55:26Z
At9u_bDYIe0,@Djauhari0957,"Sikaaatt wowwww Rp. 10.000 T... . Duit mestinya hak rakyat
Mantap pak. Menkeu ❤❤",0,2025-11-11T08:53:23Z
At9u_bDYIe0,@fitra7645,Pemerintah prabowo subianto gibran good punya mentri purbaya yudhi sadewa very good semoga Ada purbaya yudhi sadewa 100 indonesia makin jaya,0,2025-11-11T08:26:30Z
At9u_bDYIe0,@fitra7645,"Mantap menkeu purbaya yudhi sadewa good bless you pak,gas poll pak dukung 👍👍👍👍👍",0,2025-11-11T08:23:17Z
At9u_bDYIe0,@parmanlumbansiantar5580,"Negara maju,rakyat makmur terletak pd presiden, berani ,jujur,transparan,tegas, rakyat akan dukung prabowo.",0,2025-11-11T05:28:06Z
At9u_bDYIe0,@RimisnarBa,"Semoga Pak Purbaya Yudhi Sadewa Sehat Wal Afiat Panjang Umur dan Selalu Dalam Lindungan Allah SWT, Aamiin Yaa Robbal Aalamiin 🤲🤲🤲",0,2025-11-10T23:47:17Z
At9u_bDYIe0,@JourneyandMoments,"Bpk mentri keuangan RI harus hati hati mengurus uang rakyat 
Uang adalah dara dan nyanya negara ini.pak purbaya adalah orang yang mencari dan mengumpul uang dari masyarakat maka uruslah rakyat ini lebih baik dan bahagia bahagia,selamat bekerja dengan baik rakyat ada di belakang dan mendukung mu🎉😂",0,2025-11-09T22:52:49Z
At9u_bDYIe0,@mauritsjt8322,"Hajar pa Presiden dan pa Menkeu Purbaya...!! #Bersihkan Indonesia sekarang, supaya lebih cepat maju !!!",0,2025-11-09T15:03:19Z
At9u_bDYIe0,@saiful3056,Terlalu banyak pengkhianat negara yg menduduki jabatan akhirnya rakyat tetap miskin,0,2025-11-09T04:08:17Z
At9u_bDYIe0,@planetponsel1760,"Menteri gila jabatan, yg nangkap itu kan polri",0,2025-11-08T14:03:29Z
At9u_bDYIe0,@GumantiBatubara,"Sy Ahmad Gumanti Batubara, sejak dasar Pak.Jokowi mau jadi Peresiden tdk pernah memilih beliau, agar semua faham! Dan sy terpisah sampe sekarang dari anak2 sy 5 orang 2laki 3 prempuan. Mungkin juga gara2 politik kotor dan busuk mrk by.Agbar media.",0,2025-11-08T11:34:28Z
At9u_bDYIe0,@Haryanto-u9r,"Wa.... h, mafia koruptor jingkrak"" Lagi kalau Bapak Purbaya mundur, kayaknya presiden kita ini salah perhitungan dan menghidupkan lagi koruptor.",0,2025-11-08T08:57:11Z
At9u_bDYIe0,@TatitPrabowo-y5l,Penangkapan besar-besaran mana berani presiden ujung-ujungnya disogok,1,2025-11-08T02:04:05Z
At9u_bDYIe0,@ananjkt5720,"Pak Purbaya Yes, Prabowo No, Presiden omon-omon No Presiden boneka No Presiden pengecut No😂😂",1,2025-11-07T22:58:26Z
At9u_bDYIe0,@Sunarwan-xd1nv,"Demo hrusnya semi perang menuju ke oknom jangan di gedung mereka akan ngumpet ,spt sharoni ga ada juntung britanya sampe Skrang kepastiannya ?",0,2025-11-07T15:55:18Z
At9u_bDYIe0,@Sunarwan-xd1nv,"Sgera habisi para penjahat negara koruptor ,mafia sgala bentuk judi ,narkoba dsb nya ,seluruh rakyat hnya bisa berdoa ,karena takbpunya kapasitas ,walo ada yg pinterbdn brani melangkah ,",0,2025-11-07T15:52:45Z
At9u_bDYIe0,@PalupiBae,Bravo pak purbaya dn pak presiden prabowo,0,2025-11-07T14:22:18Z
At9u_bDYIe0,@NonaBelel,Uda ada bukti kerja Purbaya?? Yang mana?? Hanya omon omon..sama seperti Prabowo!!,0,2025-11-07T07:56:11Z
At9u_bDYIe0,@brillianadam4457,"Srimul dan termul mana bisa kayak begini 😂..... 
Emang babbikk kalian",0,2025-11-07T07:30:06Z
At9u_bDYIe0,@HamadiMadi-y8r,"Pak Mentri Purbaya, kok Pak cuma jadi Mentri keuangan sdh bagus kerjanya tiba - tiba Pak Mentri dngarnya tdk lagi di pakai Pak Persiden Prabowo....!",0,2025-11-07T06:49:45Z
At9u_bDYIe0,@Musinah123-q5s,"Kami doakan semoga presiden prabowo dgn waspres Gibran jga dgn Bpk purbaya Sadewa dlam lidungan Alloh subhana huwataala   jg semoga selamat jg sukses membratas korupsi di seluruh Indonesia semoga di kabulkan Alloh ,Amiin,",0,2025-11-07T04:11:43Z
At9u_bDYIe0,@zabriabubakar5982,BADUT lama diganti sama BADUT baru 😂😂😂😂😂😂😂🎉🎉🎉,1,2025-11-07T03:14:18Z
At9u_bDYIe0,@suhendardrs107,Sikaaat mafia penghianat,0,2025-11-07T01:06:01Z
At9u_bDYIe0,@Sulistyaningsih-pi5np,Mohon orang2 pintar bantu pak Purbaya...dlm penegaan negara,0,2025-11-06T23:26:00Z
At9u_bDYIe0,@MarbunBanjarnahor-v2l,Gimana BPK Purbaya kereta cepat korupsi lambat selesainya .,0,2025-11-06T19:50:34Z
At9u_bDYIe0,@suryafocus3242,Kapan nih rakyat Indonesia nepalkan para koruptor,0,2025-11-06T18:30:49Z
At9u_bDYIe0,@bllynz7133,Mantab pak pur... biar bekingan2 atau rentetan2nya... yg slundupkan bongkar smua❤❤❤,0,2025-11-06T16:32:02Z
At9u_bDYIe0,@nurachmadtjiptoprajitno3482,Utuk memnerantss korupsi tunggu presifen baru yg benar2 bersih dan mentri2 baru yg juga  bersih Krn klu skr tdk berani krn kena sandera  . MENGAOA? KRN PUNYA KASUS JUGA !!,0,2025-11-06T16:09:30Z
At9u_bDYIe0,@DjahrudinMzdiFacebookDarmakusu,Intuk menuju masyarakat yg adil dan Makmur : barang2 Import baju bekas ga usah dilarang  karena rakyat kecil masih membutuhkan itu !,0,2025-11-06T14:37:33Z
At9u_bDYIe0,@abdulmunif2534,Sudahlah dimatikan saja maling2 itu sambil mengurangi kepadstan penduduk indonesia.,0,2025-11-06T14:06:43Z
At9u_bDYIe0,@aguszaenal3793,"Basmi semua pak ,agar negara ini  sehat ,rakyat sejahtera",0,2025-11-06T13:53:41Z
At9u_bDYIe0,@HendoraHendri,GILA ... 10. 000 triliun  kerugian ... Hukum berat atau hukum mati lebih baik ...  Bikin Sakit hati,0,2025-11-06T13:40:12Z
At9u_bDYIe0,@rifindjainuri291,Hilangnya moral dan Ahlak menghilangkan akal sehat,0,2025-11-06T13:10:39Z
At9u_bDYIe0,@gustidarmudin1314,"Mohon Maaf Pak Presiden Prabowo n pk Purbaya mohon dianalisa lagi pernyataan Bapak utk Menggambil Alig Pembiayaan Woos, kalau masih menggunakan APBN itukan Uang Rakyat Juga kalau dari hasil rampasan uang korupsi itu kan juga uang rakyat, kami do'a kan bp Panjang Umur, kalau bp sudah tdak ada siapa lagi yg tulu yg mau membela rakyat kata Gusdur jangan sampai membuat Gusdur kecewa dialam Barzah Pak.😇😇😂😂😪🥲",0,2025-11-06T12:48:58Z
At9u_bDYIe0,@SuhartoHarto-z7e,MAAF BPK. PRESIDEN BENARKAH INGIN ME RESHUPLE PURBAYA. APA KIRA2 BPK. PRESIDEN DH ADA PENGGANTI PURBAYA YG LE BIH BERANI DR PURBAYA ??? PIKIRKAN MANA YG BNR DN MANA  YG MSH ABAL2. BAHASA INI BAHASA ORANG DESA MAAF.,0,2025-11-06T12:40:11Z
At9u_bDYIe0,@saursimanungkalit3661,"Ganti semua anggota DPR YANG TERLIBAT DAN TIDDAK BERFUNGSI SEBAGAI PENGAWASAN TERUTAMA BIDANG PERDAGANGAN DAN INDUSTRI TERUTAMA DENGAN SINGAPURA. SEBENARNYA, SIAPA PEMILIK KILANG DI SINGAPURA, JUGA INDOSAT DAN REGULASI UDARA. PERHATIAN KHUSU UNTUK SINGAPURA DAN MALAYSIA.",0,2025-11-06T09:10:58Z
At9u_bDYIe0,@saursimanungkalit3661,"Benar pak Ichsan, penggunaan AI dengan orang yang benar, sarat mutlak.buat undang undang baru yang bisa memecat setiap ANS yang terlibat dan dengan pemiskinan.",0,2025-11-06T09:05:14Z
At9u_bDYIe0,@BintangRustandi,Utah  s bahongiblis jokowi moga maga cepet  s tangkap atlas kebijakannua,0,2025-11-06T08:47:37Z
At9u_bDYIe0,@VictorLondongallo,"Di negeri ini,negeri surga para mafia2 di semua lini sdh di kuasai para bandit2 mafia, baik di sektor sepak bola,pajak,bumn, perbsnkanyg tentunya berkolaborasi dgn oknum baik di aparat penegak hukum,dan oknumnya di tiap2 lembaga yg terkait,oleh karenanya rakyat menaruh hrpn kepada yth presiden bp Prabowo Subianto & menteri keuangan bp Purbaya Yudhi  Sadewa beserta jajarannya yg masih punya integrasi tinggi terhadap bangsa dan negara Indonesia",0,2025-11-06T07:58:04Z
At9u_bDYIe0,@EdiNur-sz8ps,"Bisa di .iskin pak , mereka bukan pemain baru ,tapi sudah kaya lama ,  punya modus dzn trik yang sangat lihai",0,2025-11-06T06:08:39Z
